,0
0,2024-08-19T08:00:00
1,2024-08-19T08:01:00
2,2024-08-19T08:02:00
3,2024-08-19T08:03:00
4,2024-08-19T08:04:00
5,2024-08-19T08:05:00
6,2024-08-19T08:06:00
7,2024-08-19T08:07:00
8,2024-08-19T08:08:00
9,2024-08-19T08:10:00
10,2024-08-19T08:11:00
11,2024-08-19T08:12:00
12,2024-08-19T08:14:00
13,2024-08-19T08:15:00
14,2024-08-19T08:16:00
15,2024-08-19T08:17:00
16,2024-08-19T08:18:00
17,2024-08-19T08:19:00
18,2024-08-19T08:21:00
19,2024-08-19T08:22:00
20,2024-08-19T08:23:00
21,2024-08-19T08:24:00
22,2024-08-19T08:25:00
23,2024-08-19T08:26:00
24,2024-08-19T08:27:00
25,2024-08-19T08:28:00
26,2024-08-19T08:29:00
27,2024-08-19T08:30:00
28,2024-08-19T08:31:00
29,2024-08-19T08:32:00
30,2024-08-19T08:33:00
31,2024-08-19T08:34:00
32,2024-08-19T08:35:00
33,2024-08-19T08:36:00
34,2024-08-19T08:37:00
35,2024-08-19T08:38:00
36,2024-08-19T08:39:00
37,2024-08-19T08:40:00
38,2024-08-19T08:41:00
39,2024-08-19T08:42:00
40,2024-08-19T08:43:00
41,2024-08-19T08:44:00
42,2024-08-19T08:45:00
43,2024-08-19T08:47:00
44,2024-08-19T08:48:00
45,2024-08-19T08:49:00
46,2024-08-19T08:52:00
47,2024-08-19T08:54:00
48,2024-08-19T08:55:00
49,2024-08-19T09:00:00
50,2024-08-19T09:03:00
51,2024-08-19T09:04:00
52,2024-08-19T09:05:00
53,2024-08-19T09:07:00
54,2024-08-19T09:08:00
55,2024-08-19T09:09:00
56,2024-08-19T09:10:00
57,2024-08-19T09:12:00
58,2024-08-19T09:13:00
59,2024-08-19T09:14:00
60,2024-08-19T09:15:00
61,2024-08-19T09:16:00
62,2024-08-19T09:17:00
63,2024-08-19T09:18:00
64,2024-08-19T09:19:00
65,2024-08-19T09:21:00
66,2024-08-19T09:24:00
67,2024-08-19T09:26:00
68,2024-08-19T09:28:00
69,2024-08-19T09:29:00
70,2024-08-19T09:32:00
71,2024-08-19T09:33:00
72,2024-08-19T09:34:00
73,2024-08-19T09:35:00
74,2024-08-19T09:36:00
75,2024-08-19T09:37:00
76,2024-08-19T09:39:00
77,2024-08-19T09:41:00
78,2024-08-19T09:42:00
79,2024-08-19T09:43:00
80,2024-08-19T09:46:00
81,2024-08-19T09:47:00
82,2024-08-19T09:52:00
83,2024-08-19T09:53:00
84,2024-08-19T09:56:00
85,2024-08-19T09:57:00
86,2024-08-19T09:58:00
87,2024-08-19T09:59:00
88,2024-08-19T10:00:00
89,2024-08-19T10:01:00
90,2024-08-19T10:02:00
91,2024-08-19T10:03:00
92,2024-08-19T10:04:00
93,2024-08-19T10:05:00
94,2024-08-19T10:06:00
95,2024-08-19T10:10:00
96,2024-08-19T10:12:00
97,2024-08-19T10:13:00
98,2024-08-19T10:16:00
99,2024-08-19T10:17:00
100,2024-08-19T10:18:00
101,2024-08-19T10:19:00
102,2024-08-19T10:20:00
103,2024-08-19T10:21:00
104,2024-08-19T10:22:00
105,2024-08-19T10:25:00
106,2024-08-19T10:26:00
107,2024-08-19T10:27:00
108,2024-08-19T10:28:00
109,2024-08-19T10:29:00
110,2024-08-19T10:31:00
111,2024-08-19T10:34:00
112,2024-08-19T10:35:00
113,2024-08-19T10:38:00
114,2024-08-19T10:39:00
115,2024-08-19T10:42:00
116,2024-08-19T10:43:00
117,2024-08-19T10:46:00
118,2024-08-19T10:47:00
119,2024-08-19T10:48:00
120,2024-08-19T10:49:00
121,2024-08-19T10:50:00
122,2024-08-19T10:51:00
123,2024-08-19T10:52:00
124,2024-08-19T10:53:00
125,2024-08-19T10:55:00
126,2024-08-19T10:56:00
127,2024-08-19T10:57:00
128,2024-08-19T10:58:00
129,2024-08-19T10:59:00
130,2024-08-19T11:00:00
131,2024-08-19T11:01:00
132,2024-08-19T11:02:00
133,2024-08-19T11:03:00
134,2024-08-19T11:04:00
135,2024-08-19T11:05:00
136,2024-08-19T11:06:00
137,2024-08-19T11:11:00
138,2024-08-19T11:12:00
139,2024-08-19T11:14:00
140,2024-08-19T11:15:00
141,2024-08-19T11:16:00
142,2024-08-19T11:17:00
143,2024-08-19T11:18:00
144,2024-08-19T11:22:00
145,2024-08-19T11:23:00
146,2024-08-19T11:24:00
147,2024-08-19T11:25:00
148,2024-08-19T11:26:00
149,2024-08-19T11:27:00
150,2024-08-19T11:28:00
151,2024-08-19T11:29:00
152,2024-08-19T11:30:00
153,2024-08-19T11:31:00
154,2024-08-19T11:33:00
155,2024-08-19T11:34:00
156,2024-08-19T11:35:00
157,2024-08-19T11:36:00
158,2024-08-19T11:42:00
159,2024-08-19T11:43:00
160,2024-08-19T11:44:00
161,2024-08-19T11:45:00
162,2024-08-19T11:46:00
163,2024-08-19T11:47:00
164,2024-08-19T11:48:00
165,2024-08-19T11:50:00
166,2024-08-19T11:51:00
167,2024-08-19T11:52:00
168,2024-08-19T11:53:00
169,2024-08-19T11:54:00
170,2024-08-19T11:55:00
171,2024-08-19T11:56:00
172,2024-08-19T11:57:00
173,2024-08-19T11:58:00
174,2024-08-19T11:59:00
175,2024-08-19T12:00:00
176,2024-08-19T12:01:00
177,2024-08-19T12:03:00
178,2024-08-19T12:05:00
179,2024-08-19T12:06:00
180,2024-08-19T12:07:00
181,2024-08-19T12:08:00
182,2024-08-19T12:09:00
183,2024-08-19T12:10:00
184,2024-08-19T12:11:00
185,2024-08-19T12:12:00
186,2024-08-19T12:13:00
187,2024-08-19T12:14:00
188,2024-08-19T12:15:00
189,2024-08-19T12:16:00
190,2024-08-19T12:17:00
191,2024-08-19T12:18:00
192,2024-08-19T12:19:00
193,2024-08-19T12:20:00
194,2024-08-19T12:21:00
195,2024-08-19T12:22:00
196,2024-08-19T12:23:00
197,2024-08-19T12:24:00
198,2024-08-19T12:25:00
199,2024-08-19T12:26:00
200,2024-08-19T12:27:00
